Pathway,Superclass,Class,Popolazione
Fatty acids,Small peptides,Hydroxy fatty acids,2
Amino acids and Peptides,Small peptides,Hydroxy fatty acids,2
Amino acids and Peptides,Fatty Acids and Conjugates,Hydroxy fatty acids,2
Terpenoids,Phloroglucinols,"Prenylated,geranylated phloroglucinols",2
Terpenoids,Phloroglucinols,Polyprenylated cyclic polyketides (Hop meroterpenoids),2
Terpenoids,Meroterpenoids,"Prenylated,geranylated phloroglucinols",2
Polyketides,Phloroglucinols,Polyprenylated cyclic polyketides (Hop meroterpenoids),2
Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Depsides and depsidones,2
Shikimates and Phenylpropanoids,Aromatic polyketides,Simple phenolic acids,2
Shikimates and Phenylpropanoids,Coumarins,2-pyrone derivatives,2
Polyketides,Cyclic polyketides,Isocoumarins,2
Polyketides,Coumarins,2-pyrone derivatives,2
Polyketides,Nicotinic acid alkaloids,3-oligoenoyltetramic acids,2
Alkaloids,Cyclic polyketides,Cytochalasan alkaloids,2
Alkaloids,Cyclic polyketides,3-Decalinoyltetramic acids,2
Carbohydrates,Anthranilic acid alkaloids,Amino cyclitols,2
Amino acids and Peptides,Histidine alkaloids,Pyrazine and Piperazine alkaloids,2
Alkaloids,Histidine alkaloids,Pyrazine and Piperazine alkaloids,2
Polyketides,Pseudoalkaloids (transamidation),3-Decalinoyltetramic acids,2
Polyketides,Cyclic polyketides,Cytochalasan alkaloids,2
Amino acids and Peptides,Pseudoalkaloids (transamidation),Cytochalasan alkaloids,2
Amino acids and Peptides,Pseudoalkaloids (transamidation),3-Decalinoyltetramic acids,2
Amino acids and Peptides,Cyclic polyketides,Cytochalasan alkaloids,2
Alkaloids,Pseudoalkaloids (transamidation),3-Decalinoyltetramic acids,2
Polyketides,Meroterpenoids,"Prenylated,geranylated phloroglucinols",2
Amino acids and Peptides,Oligopeptides,Ansa peptide alkaloids,2
Alkaloids,Peptide alkaloids,Cyclic peptides,2
Alkaloids,Oligopeptides,Ansa peptide alkaloids,2
Carbohydrates,Pseudoalkaloids (transamidation),Purine nucleosides,2
Alkaloids,Pseudoalkaloids (transamidation),Purine nucleosides,2
Alkaloids,Nucleosides,Purine nucleosides,2
Terpenoids,Sesquiterpenoids,Wax monoesters,2
Terpenoids,Fatty esters,Farnesane sesquiterpenoids,2
Fatty acids,Sesquiterpenoids,Wax monoesters,2
Fatty acids,Fatty esters,Farnesane sesquiterpenoids,2
Polyketides,Linear polyketides,Cyclic peptides,2
Amino acids and Peptides,Linear polyketides,Cyclic peptides,2
Alkaloids,Nicotinic acid alkaloids,3-oligoenoyltetramic acids,2
Alkaloids,Linear polyketides,3-oligoenoyltetramic acids,2
Shikimates and Phenylpropanoids,Cyclic polyketides,Isocoumarins,2
Shikimates and Phenylpropanoids,Cyclic polyketides,2-pyrone derivatives,2
Polyketides,Polycyclic aromatic polyketides,Enediynes,2
Terpenoids,Sesquiterpenoids,Briarane diterpenoids,2
Terpenoids,Sesquiterpenoids,Isoindole alkaloids,2
Terpenoids,Pseudoalkaloids (transamidation),Drimane sesquiterpenoids,2
Alkaloids,Sesquiterpenoids,Isoindole alkaloids,2
Alkaloids,Sesquiterpenoids,Drimane sesquiterpenoids,2
Alkaloids,Pseudoalkaloids (transamidation),Drimane sesquiterpenoids,2
Alkaloids,Sesquiterpenoids,Illudalane sesquiterpenoids,2
Alkaloids,Nicotinic acid alkaloids,Illudalane sesquiterpenoids,2
Amino acids and Peptides,Nicotinic acid alkaloids,Enediynes,2
Amino acids and Peptides,Macrolides,Pyridine alkaloids,2
Amino acids and Peptides,Macrolides,Enediynes,2
Amino acids and Peptides,Macrolides,Cyclic peptides,2
Alkaloids,Oligopeptides,Enediynes,2
Alkaloids,Nicotinic acid alkaloids,Enediynes,2
Alkaloids,Macrolides,Pyridine alkaloids,2
Terpenoids,Coumarins,Farnesane sesquiterpenoids,2
Shikimates and Phenylpropanoids,Sesquiterpenoids,Farnesane sesquiterpenoids,2
Shikimates and Phenylpropanoids,Coumarins,Farnesane sesquiterpenoids,2
Shikimates and Phenylpropanoids,Flavonoids,Pyranocoumarins,2
Shikimates and Phenylpropanoids,Small peptides,Simple coumarins,2
Terpenoids,Triterpenoids,Scalarane sesterterpenoids,2
Fatty acids,Docosanoids,"Docosa-1,2-dioxolanes",2
Shikimates and Phenylpropanoids,Ornithine alkaloids,Pyrrolidine alkaloids,2
Terpenoids,Diterpenoids,Decipiane diterpenoids,2
Carbohydrates,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,2
Carbohydrates,Fatty acyl glycosides,Aminosugars,2
Carbohydrates,Aminosugars and aminoglycosides,Fatty acyl glycosides of mono- and disaccharides,2
Terpenoids,Fatty acyls,Apocarotenoids (Ψ-),2
Fatty acids,Eicosanoids,Unsaturated fatty acids,2
Terpenoids,Sesquiterpenoids,Piperidine alkaloids,2
Alkaloids,Macrolides,Cyclic peptides,2
Terpenoids,Fatty Acids and Conjugates,Branched fatty acids,1
Fatty acids,Monoterpenoids,Unsaturated fatty acids,1
Fatty acids,Fatty Acids and Conjugates,Acyclic monoterpenoids,1
Fatty acids,Fatty Acids and Conjugates,Lipoxins,1
Terpenoids,Triterpenoids,Unsaturated fatty acids,1
Carbohydrates,Small peptides,Streptothricins and derivatives,1
Carbohydrates,Small peptides,Aminoacids,1
Carbohydrates,Nucleosides,Aminoacids,1
Amino acids and Peptides,Small peptides,Streptothricins and derivatives,1
Amino acids and Peptides,Nucleosides,Streptothricins and derivatives,1
Polyketides,Macrolides,Aminosugars,1
Alkaloids,Small peptides,"Indole diketopiperazine alkaloids (L-Trp, L-Trp)",1
Amino acids and Peptides,Small peptides,"Indole diketopiperazine alkaloids (L-Trp, L-Trp)",1
Alkaloids,Small peptides,Other indole diketopiperazine alkaloids,1
Amino acids and Peptides,Small peptides,Other indole diketopiperazine alkaloids,1
Carbohydrates,Saccharides,Amino cyclitols,1
Polyketides,Aromatic polyketides,Zearalenones,1
Polyketides,Macrolides,Griseofulvins,1
Polyketides,Linear polyketides,Macrolide lactones,1
Polyketides,Macrolides,Acetogenins,1
Carbohydrates,Aminosugars and aminoglycosides,Enediynes,1
Alkaloids,Macrolides,Carboline alkaloids,1
Alkaloids,Tryptophan alkaloids,Enediynes,1
Polyketides,Macrolides,Carboline alkaloids,1
Polyketides,Tryptophan alkaloids,Carboline alkaloids,1
Polyketides,Tryptophan alkaloids,Enediynes,1
Alkaloids,Tryptophan alkaloids,Picrotoxane sesquiterpenoids,1
Terpenoids,Triterpenoids,Farnesane sesquiterpenoids,1
Terpenoids,Monoterpenoids,Santalane sesquiterpenoids,1
Terpenoids,Sesquiterpenoids,Camphane monoterpenoids,1
Terpenoids,Diterpenoids,Camphane monoterpenoids,1
Terpenoids,Monoterpenoids,Abietane diterpenoids,1
Terpenoids,Diterpenoids,Caryophyllane sesquiterpenoids,1
Terpenoids,Sesquiterpenoids,Labdane diterpenoids,1
Terpenoids,Diterpenoids,Bisabolane sesquiterpenoids,1
Terpenoids,Apocarotenoids,Cyclofarnesane sesquiterpenoids,1
Terpenoids,Apocarotenoids,Farnesane sesquiterpenoids,1
Terpenoids,Sesquiterpenoids,Apocarotenoids(ε-),1
Terpenoids,Diterpenoids,Daucane sesquiterpenoids,1
Terpenoids,Sesquiterpenoids,Cyathane diterpenoids,1
Terpenoids,Diterpenoids,Cadinane sesquiterpenoids,1
Fatty acids,Monoterpenoids,Lactones,1
Terpenoids,Monoterpenoids,Lactones,1
Fatty acids,Fatty esters,Open-chain polyketides,1
Fatty acids,Linear polyketides,Lactones,1
Polyketides,Fatty esters,Open-chain polyketides,1
Polyketides,Linear polyketides,Lactones,1
Fatty acids,Fatty esters,Iridoids monoterpenoids,1
Fatty acids,Monoterpenoids,Iridoids monoterpenoids,1
Terpenoids,Fatty esters,Iridoids monoterpenoids,1
Fatty acids,Diterpenoids,Ingenane diterpenoids,1
Fatty acids,Diterpenoids,Tetracyclic diterpenoids,1
Fatty acids,Diterpenoids,Wax monoesters,1
Fatty acids,Fatty esters,Ingenane diterpenoids,1
Fatty acids,Fatty esters,Tetracyclic diterpenoids,1
Terpenoids,Diterpenoids,Wax monoesters,1
Terpenoids,Fatty esters,Ingenane diterpenoids,1
Alkaloids,Sesquiterpenoids,Aspidosperma-Iboga hybrid type (Vinca alkaloids),1
Alkaloids,Tryptophan alkaloids,Iridoids monoterpenoids,1
Terpenoids,Monoterpenoids,Carboline alkaloids,1
Terpenoids,Tryptophan alkaloids,Carboline alkaloids,1
Terpenoids,Tryptophan alkaloids,Iridoids monoterpenoids,1
Terpenoids,Sesquiterpenoids,Aspidosperma-Iboga hybrid type (Vinca alkaloids),1
Terpenoids,Tryptophan alkaloids,Aspidosperma type,1
Terpenoids,Tryptophan alkaloids,Aspidosperma-Iboga hybrid type (Vinca alkaloids),1
Terpenoids,Tryptophan alkaloids,Picrotoxane sesquiterpenoids,1
Alkaloids,Sesquiterpenoids,Aspidosperma type,1
Terpenoids,Monoterpenoids,Acorane sesquiterpenoids,1
Terpenoids,Sesquiterpenoids,Menthane monoterpenoids,1
Alkaloids,Nicotinic acid alkaloids,Eudesmane sesquiterpenoids,1
Alkaloids,Pseudoalkaloids (transamidation),Eudesmane sesquiterpenoids,1
Terpenoids,Nicotinic acid alkaloids,Eudesmane sesquiterpenoids,1
Terpenoids,Pseudoalkaloids (transamidation),Eudesmane sesquiterpenoids,1
Terpenoids,Sesquiterpenoids,Serrulatane and Biflorane diterpenoids,1
Alkaloids,Fatty amides,Capsaicins and Capsaicinoids,1
Alkaloids,Fatty amides,Phenylalanine-derived alkaloids,1
Alkaloids,Pseudoalkaloids (transamidation),N-acyl amines,1
Fatty acids,Fatty amides,Capsaicins and Capsaicinoids,1
Fatty acids,Fatty amides,Phenylalanine-derived alkaloids,1
Fatty acids,Pseudoalkaloids (transamidation),Capsaicins and Capsaicinoids,1
Fatty acids,Pseudoalkaloids (transamidation),N-acyl amines,1
Fatty acids,Pseudoalkaloids (transamidation),Phenylalanine-derived alkaloids,1
Alkaloids,Fatty amides,Polyamines,1
Alkaloids,Ornithine alkaloids,N-acyl amines,1
Fatty acids,Fatty amides,Polyamines,1
Alkaloids,Lysine alkaloids,Trichothecane sesquiterpenoids,1
Alkaloids,Sesquiterpenoids,Trichothecane sesquiterpenoids,1
Terpenoids,Lysine alkaloids,Trichothecane sesquiterpenoids,1
Terpenoids,Sesquiterpenoids,Aspidosperma type,1
Alkaloids,Monoterpenoids,Carboline alkaloids,1
Terpenoids,Monoterpenoids,Cyclofarnesane sesquiterpenoids,1
Terpenoids,Sesquiterpenoids,Iridoids monoterpenoids,1
Alkaloids,Monoterpenoids,Amarylidaceae alkaloids,1
Alkaloids,Monoterpenoids,Isoquinoline alkaloids,1
Alkaloids,Tyrosine alkaloids,Iridoids monoterpenoids,1
Terpenoids,Monoterpenoids,Amarylidaceae alkaloids,1
Terpenoids,Monoterpenoids,Isoquinoline alkaloids,1
Terpenoids,Tyrosine alkaloids,Amarylidaceae alkaloids,1
Terpenoids,Tyrosine alkaloids,Iridoids monoterpenoids,1
Terpenoids,Tyrosine alkaloids,Isoquinoline alkaloids,1
Terpenoids,Apocarotenoids,Prenyl quinone meroterpenoids,1
Terpenoids,Diterpenoids,Prenyl quinone meroterpenoids,1
Terpenoids,Meroterpenoids,Apocarotenoids (β-),1
Terpenoids,Meroterpenoids,Cyclophytane diterpenoids,1
Terpenoids,Diterpenoids,Apocarotenoids (Ψ-),1
Terpenoids,Diterpenoids,Apocarotenoids(ε-),1
Shikimates and Phenylpropanoids,Tryptophan alkaloids,Yohimbine-like alkaloids,1
Shikimates and Phenylpropanoids,Stilbenoids,Anthocyanidins,1
Shikimates and Phenylpropanoids,Isoflavonoids,Monomeric stilbenes,1
Shikimates and Phenylpropanoids,Isoflavonoids,Flavones,1
Terpenoids,Sesquiterpenoids,Fatty alcohols,1
Carbohydrates,Fatty acyls,Fatty alcohols,1
Carbohydrates,Fatty acyls,Monosaccharides,1
Carbohydrates,Saccharides,Fatty alcohols,1
Fatty acids,Fatty acyls,Monosaccharides,1
Fatty acids,Saccharides,Fatty alcohols,1
Fatty acids,Sesquiterpenoids,Fatty aldehydes,1
Terpenoids,Fatty acyls,Fatty aldehydes,1
Terpenoids,Sesquiterpenoids,Fatty aldehydes,1
Terpenoids,Monoterpenoids,Cubebane sesquiterpenoids,1
Terpenoids,Sesquiterpenoids,Acyclic monoterpenoids,1
Terpenoids,Meroterpenoids,Monocyclic monoterpenoids,1
Shikimates and Phenylpropanoids,Flavonoids,Polysaccharides,1
Shikimates and Phenylpropanoids,Saccharides,Flavones,1
Shikimates and Phenylpropanoids,Saccharides,Monosaccharides,1
Shikimates and Phenylpropanoids,Saccharides,Polysaccharides,1
Fatty acids,Ornithine alkaloids,N-acyl amines,1
Alkaloids,Diterpenoids,Halimane diterpenoids,1
Alkaloids,Pseudoalkaloids (transamidation),Halimane diterpenoids,1
Terpenoids,Pseudoalkaloids (transamidation),Halimane diterpenoids,1
Alkaloids,Diterpenoids,Abietane diterpenoids,1
Alkaloids,Diterpenoids,Secokaurane diterpenoids,1
Alkaloids,Pseudoalkaloids (transamidation),Abietane diterpenoids,1
Alkaloids,Flavonoids,Flavan-3-ols,1
Alkaloids,Flavonoids,Yohimbine-like alkaloids,1
Alkaloids,Tryptophan alkaloids,Flavan-3-ols,1
Shikimates and Phenylpropanoids,Flavonoids,Yohimbine-like alkaloids,1
Shikimates and Phenylpropanoids,Tryptophan alkaloids,Flavan-3-ols,1
Shikimates and Phenylpropanoids,Lysine alkaloids,Flavones,1
Shikimates and Phenylpropanoids,Lysine alkaloids,Piperidine alkaloids,1
Terpenoids,Pseudoalkaloids (transamidation),Abietane diterpenoids,1
Terpenoids,Pseudoalkaloids (transamidation),Secokaurane diterpenoids,1
Terpenoids,Diterpenoids,Lupane triterpenoids,1
Terpenoids,Triterpenoids,Abietane diterpenoids,1
Fatty acids,Apocarotenoids,Fatty alcohols,1
Fatty acids,Apocarotenoids,Miscellaneous apocarotenoids,1
Fatty acids,Fatty acyls,Miscellaneous apocarotenoids,1
Terpenoids,Apocarotenoids,Fatty alcohols,1
Terpenoids,Fatty acyls,Miscellaneous apocarotenoids,1
Carbohydrates,Flavonoids,Flavones,1
Carbohydrates,Flavonoids,Monosaccharides,1
Carbohydrates,Flavonoids,Polysaccharides,1
Carbohydrates,Saccharides,Flavones,1
Shikimates and Phenylpropanoids,Flavonoids,Monosaccharides,1
Alkaloids,Flavonoids,Piperidine alkaloids,1
Alkaloids,Lysine alkaloids,Flavones,1
Shikimates and Phenylpropanoids,Flavonoids,Piperidine alkaloids,1
Fatty acids,Sesquiterpenoids,Fatty alcohols,1
Terpenoids,Diterpenoids,Limonoids,1
Terpenoids,Triterpenoids,Pimarane and Isopimarane diterpenoids,1
Carbohydrates,Aminosugars and aminoglycosides,Spongiane diterpenoids,1
Carbohydrates,Diterpenoids,Aminosugars,1
Carbohydrates,Diterpenoids,Spongiane diterpenoids,1
Terpenoids,Aminosugars and aminoglycosides,Spongiane diterpenoids,1
Terpenoids,Diterpenoids,Aminosugars,1
Alkaloids,Pseudoalkaloids (transamidation),Secokaurane diterpenoids,1
Fatty acids,Ornithine alkaloids,Polyamines,1
Fatty acids,Monoterpenoids,Hydrocarbons,1
Terpenoids,Monoterpenoids,Hydrocarbons,1
Fatty acids,Apocarotenoids,Hydrocarbons,1
Alkaloids,Styrylpyrones,Kavalactones and derivatives,1
Alkaloids,Diterpenoids,Eunicellane diterpenoids,1
Alkaloids,Diterpenoids,Imidazole alkaloids,1
Alkaloids,Histidine alkaloids,Eunicellane diterpenoids,1
Terpenoids,Diterpenoids,Imidazole alkaloids,1
Terpenoids,Histidine alkaloids,Eunicellane diterpenoids,1
Terpenoids,Histidine alkaloids,Imidazole alkaloids,1
Shikimates and Phenylpropanoids,Flavonoids,Pterocarpan,1
Shikimates and Phenylpropanoids,Stilbenoids,Dihydroflavonols,1
Shikimates and Phenylpropanoids,Diterpenoids,Flavonols,1
Shikimates and Phenylpropanoids,Diterpenoids,Labdane diterpenoids,1
Shikimates and Phenylpropanoids,Flavonoids,Labdane diterpenoids,1
Terpenoids,Diterpenoids,Flavonols,1
Terpenoids,Flavonoids,Flavonols,1
Terpenoids,Flavonoids,Labdane diterpenoids,1
Alkaloids,Flavonoids,Flavones,1
Shikimates and Phenylpropanoids,Coumarins,Flavones,1
Shikimates and Phenylpropanoids,Flavonoids,Isocoumarins,1
Shikimates and Phenylpropanoids,Stilbenoids,Kavalactones and derivatives,1
Shikimates and Phenylpropanoids,Styrylpyrones,Monomeric stilbenes,1
Alkaloids,Ornithine alkaloids,Kavalactones and derivatives,1
Terpenoids,Apocarotenoids,Hydrocarbons,1
Fatty acids,Fatty acyls,Linear sesterterpenoids,1
Fatty acids,Sesterterpenoids,Fatty alcohols,1
Fatty acids,Sesterterpenoids,Linear sesterterpenoids,1
Terpenoids,Fatty acyls,Linear sesterterpenoids,1
Terpenoids,Sesterterpenoids,Fatty alcohols,1
Alkaloids,Styrylpyrones,Pyrrolidine alkaloids,1
Shikimates and Phenylpropanoids,Ornithine alkaloids,Kavalactones and derivatives,1
Shikimates and Phenylpropanoids,Styrylpyrones,Pyrrolidine alkaloids,1
Shikimates and Phenylpropanoids,Sesquiterpenoids,Botryane sesquiterpenoids,1
Shikimates and Phenylpropanoids,Isoflavonoids,m-Terphenyls,1
Terpenoids,Fatty acyls,Oxygenated hydrocarbons,1
Terpenoids,Monoterpenoids,Apocarotenoids (Ψ-),1
Terpenoids,Monoterpenoids,Oxygenated hydrocarbons,1
Shikimates and Phenylpropanoids,Small peptides,Tripeptides,1
Shikimates and Phenylpropanoids,Coumarins,Botryane sesquiterpenoids,1
Alkaloids,Diterpenoids,Jatrophane diterpenoids,1
Alkaloids,Diterpenoids,Pyridine alkaloids,1
Alkaloids,Nicotinic acid alkaloids,Jatrophane diterpenoids,1
Terpenoids,Diterpenoids,Pyridine alkaloids,1
Terpenoids,Nicotinic acid alkaloids,Jatrophane diterpenoids,1
Terpenoids,Coumarins,Botryane sesquiterpenoids,1
Alkaloids,Coumarins,Isocoumarins,1
Alkaloids,Coumarins,Pyrrolidine alkaloids,1
Alkaloids,Ornithine alkaloids,Isocoumarins,1
Shikimates and Phenylpropanoids,Coumarins,Pyrrolidine alkaloids,1
Shikimates and Phenylpropanoids,Ornithine alkaloids,Isocoumarins,1
Alkaloids,Coumarins,Simple coumarins,1
Alkaloids,Nicotinic acid alkaloids,Simple coumarins,1
Shikimates and Phenylpropanoids,Coumarins,Pyridine alkaloids,1
Shikimates and Phenylpropanoids,Nicotinic acid alkaloids,Simple coumarins,1
Shikimates and Phenylpropanoids,Coumarins,Flavanones,1
Shikimates and Phenylpropanoids,Coumarins,Neoflavonoids,1
Shikimates and Phenylpropanoids,Coumarins,Flavonols,1
Shikimates and Phenylpropanoids,Flavonoids,Furocoumarins,1
Amino acids and Peptides,Coumarins,Tripeptides,1
Shikimates and Phenylpropanoids,Coumarins,Tripeptides,1
Fatty acids,Apocarotenoids,Acyclic monoterpenoids,1
Fatty acids,Apocarotenoids,Oxygenated hydrocarbons,1
Fatty acids,Monoterpenoids,Apocarotenoids (Ψ-),1
Fatty acids,Monoterpenoids,Oxygenated hydrocarbons,1
Terpenoids,Apocarotenoids,Acyclic monoterpenoids,1
Terpenoids,Apocarotenoids,Oxygenated hydrocarbons,1
Shikimates and Phenylpropanoids,Coumarins,Coumestan,1
Shikimates and Phenylpropanoids,Isoflavonoids,Simple coumarins,1
Amino acids and Peptides,Coumarins,Dipeptides,1
Alkaloids,Nicotinic acid alkaloids,Cheilanthane sesterterpenoids,1
Alkaloids,Sesterterpenoids,Cheilanthane sesterterpenoids,1
Alkaloids,Sesterterpenoids,Pyridine alkaloids,1
Terpenoids,Nicotinic acid alkaloids,Cheilanthane sesterterpenoids,1
Terpenoids,Sesterterpenoids,Pyridine alkaloids,1
Shikimates and Phenylpropanoids,Coumarins,Dipeptides,1
Shikimates and Phenylpropanoids,Small peptides,Dipeptides,1
Shikimates and Phenylpropanoids,Coumarins,Oligomeric stibenes,1
Shikimates and Phenylpropanoids,Coumarins,Stilbenolignans,1
Shikimates and Phenylpropanoids,Stilbenoids,Simple coumarins,1
Shikimates and Phenylpropanoids,Lignans,Polyamines,1
Shikimates and Phenylpropanoids,Coumarins,Chalcones,1
Alkaloids,Coumarins,Pyridine alkaloids,1
Shikimates and Phenylpropanoids,Sesquiterpenoids,Caryolane sesquiterpenoids,1
Terpenoids,Lignans,Caryolane sesquiterpenoids,1
Alkaloids,Lignans,Neolignans,1
Alkaloids,Lignans,Polyamines,1
Alkaloids,Ornithine alkaloids,Neolignans,1
Terpenoids,Monoterpenoids,Furofuranoid lignans,1
Fatty acids,Eicosanoids,Fatty acyl glycosides of mono- and disaccharides,1
Fatty acids,Fatty acyl glycosides,Clavulones,1
Shikimates and Phenylpropanoids,Ornithine alkaloids,Neolignans,1
Shikimates and Phenylpropanoids,Ornithine alkaloids,Polyamines,1
Shikimates and Phenylpropanoids,Lignans,Clovane sesquiterpenoids,1
Shikimates and Phenylpropanoids,Sesquiterpenoids,Clovane sesquiterpenoids,1
Terpenoids,Lignans,Clovane sesquiterpenoids,1
Shikimates and Phenylpropanoids,Lignans,Secoiridoid monoterpenoids,1
Shikimates and Phenylpropanoids,Monoterpenoids,Secoiridoid monoterpenoids,1
Terpenoids,Lignans,Secoiridoid monoterpenoids,1
Carbohydrates,Triterpenoids,Amino cyclitols,1
Terpenoids,Polyols,Amino cyclitols,1
Terpenoids,Polyols,Hopane and Moretane triterpenoids,1
Terpenoids,Triterpenoids,Amino cyclitols,1
Terpenoids,Steroids,"Lanostane, Tirucallane and Euphane triterpenoids",1
Terpenoids,Steroids,Apotirucallane triterpenoids,1
Terpenoids,Steroids,Ursane and Taraxastane triterpenoids,1
Terpenoids,Triterpenoids,Cholane steroids,1
Carbohydrates,Aminosugars and aminoglycosides,Hopane and Moretane triterpenoids,1
Carbohydrates,Triterpenoids,Aminosugars,1
Shikimates and Phenylpropanoids,Coumarins,Neolignans,1
Shikimates and Phenylpropanoids,Lignans,Irregular monoterpenoids,1
Shikimates and Phenylpropanoids,Monoterpenoids,Irregular monoterpenoids,1
Terpenoids,Lignans,Irregular monoterpenoids,1
Terpenoids,Apocarotenoids,Fatty acyl glycosides of mono- and disaccharides,1
Shikimates and Phenylpropanoids,Lignans,Caryolane sesquiterpenoids,1
Terpenoids,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,1
Shikimates and Phenylpropanoids,Lignans,Stigmastane steroids,1
Shikimates and Phenylpropanoids,Steroids,Furanoid lignans,1
Shikimates and Phenylpropanoids,Steroids,Stigmastane steroids,1
Terpenoids,Lignans,Furanoid lignans,1
Terpenoids,Lignans,Stigmastane steroids,1
Terpenoids,Steroids,Furanoid lignans,1
Shikimates and Phenylpropanoids,Flavonoids,Furofuranoid lignans,1
Shikimates and Phenylpropanoids,Lignans,Menthane monoterpenoids,1
Shikimates and Phenylpropanoids,Monoterpenoids,Furofuranoid lignans,1
Shikimates and Phenylpropanoids,Monoterpenoids,Menthane monoterpenoids,1
Terpenoids,Lignans,Furofuranoid lignans,1
Terpenoids,Lignans,Menthane monoterpenoids,1
Terpenoids,Aminosugars and aminoglycosides,Hopane and Moretane triterpenoids,1
Terpenoids,Triterpenoids,Aminosugars,1
Carbohydrates,Polyols,Hopane and Moretane triterpenoids,1
Polyketides,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,1
Polyketides,Polycyclic aromatic polyketides,Fatty acyl glycosides of mono- and disaccharides,1
Fatty acids,Apocarotenoids,Fatty acyl glycosides of mono- and disaccharides,1
Fatty acids,Apocarotenoids,Megastigmanes,1
Fatty acids,Fatty acyl glycosides,Megastigmanes,1
Fatty acids,Diterpenoids,Phytane diterpenoids,1
Fatty acids,Octadecanoids,Phytane diterpenoids,1
Terpenoids,Diterpenoids,12-oxophytodienoic acid metabolites,1
Terpenoids,Octadecanoids,12-oxophytodienoic acid metabolites,1
Terpenoids,Octadecanoids,Phytane diterpenoids,1
Fatty acids,Meroterpenoids,Jasmonic acids,1
Fatty acids,Meroterpenoids,Prenyl quinone meroterpenoids,1
Fatty acids,Octadecanoids,Prenyl quinone meroterpenoids,1
Terpenoids,Meroterpenoids,Jasmonic acids,1
Terpenoids,Octadecanoids,Jasmonic acids,1
Terpenoids,Octadecanoids,Prenyl quinone meroterpenoids,1
Terpenoids,Phenolic acids (C6-C1),Germacrane sesquiterpenoids,1
Terpenoids,Phenolic acids (C6-C1),Simple phenolic acids,1
Terpenoids,Sesquiterpenoids,Simple phenolic acids,1
Polyketides,Coumarins,Azaphilones,1
Fatty acids,Diterpenoids,12-oxophytodienoic acid metabolites,1
Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Chalcones,1
Shikimates and Phenylpropanoids,Monoterpenoids,Cinnamic acids and derivatives,1
Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Iridoids monoterpenoids,1
Terpenoids,Monoterpenoids,Cinnamic acids and derivatives,1
Terpenoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,1
Terpenoids,Phenylpropanoids (C6-C3),Iridoids monoterpenoids,1
Terpenoids,Tropolones,Verrucosane diterpenoids,1
Fatty acids,Fatty acyl glycosides,Anthraquinones and anthrones,1
Fatty acids,Polycyclic aromatic polyketides,Anthraquinones and anthrones,1
Fatty acids,Polycyclic aromatic polyketides,Fatty acyl glycosides of mono- and disaccharides,1
Polyketides,Fatty acyl glycosides,Anthraquinones and anthrones,1
Polyketides,Diterpenoids,Tropolones and derivatives (PKS),1
Polyketides,Diterpenoids,Verrucosane diterpenoids,1
Polyketides,Tropolones,Verrucosane diterpenoids,1
Terpenoids,Diterpenoids,Tropolones and derivatives (PKS),1
Terpenoids,Tropolones,Tropolones and derivatives (PKS),1
Alkaloids,Ornithine alkaloids,Cholestane steroids,1
Alkaloids,Ornithine alkaloids,Steroidal alkaloids,1
Alkaloids,Steroids,Polyamines,1
Terpenoids,Ornithine alkaloids,Cholestane steroids,1
Terpenoids,Ornithine alkaloids,Polyamines,1
Terpenoids,Ornithine alkaloids,Steroidal alkaloids,1
Terpenoids,Pseudoalkaloids (transamidation),Polyamines,1
Terpenoids,Steroids,Polyamines,1
Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Germacrane sesquiterpenoids,1
Shikimates and Phenylpropanoids,Sesquiterpenoids,Germacrane sesquiterpenoids,1
Shikimates and Phenylpropanoids,Sesquiterpenoids,Simple phenolic acids,1
Shikimates and Phenylpropanoids,Chromanes,Flavonolignans,1
Shikimates and Phenylpropanoids,Flavonoids,Azaphilones,1
Shikimates and Phenylpropanoids,Lignans,Azaphilones,1
Polyketides,Chromanes,Isocoumarins,1
Terpenoids,Steroids,Megastigmanes,1
Terpenoids,Apocarotenoids,"Carotenoids (C40, Ψ-Ψ)",1
Fatty acids,Fatty Acids and Conjugates,Primary amides,1
Fatty acids,Fatty amides,Amino fatty acids,1
Fatty acids,Fatty acyls,Dicarboxylic acids,1
Shikimates and Phenylpropanoids,Chromanes,Isocoumarins,1
Shikimates and Phenylpropanoids,Coumarins,Azaphilones,1
Amino acids and Peptides,Chromanes,Azaphilones,1
Amino acids and Peptides,Chromanes,Cyclic peptides,1
Amino acids and Peptides,Oligopeptides,Azaphilones,1
Polyketides,Chromanes,Cyclic peptides,1
Polyketides,Oligopeptides,Azaphilones,1
Polyketides,Naphthalenes,Trichothecane sesquiterpenoids,1
Terpenoids,Naphthalenes,Trichothecane sesquiterpenoids,1
Polyketides,Meroterpenoids,Bisnaphthalenes,1
Polyketides,Naphthalenes,Other polyketide meroterpenoids,1
